data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000519,COMPLETED,2010,North Melbourne,368,17-19 Arden Street NORTH MELBOURNE VIC 3051,105624,,,,,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,144.9517267,-37.8013705,"-37.8013705, 144.9517267"
Pre May 16,X000523,COMPLETED,2003,North Melbourne,368,98-104 Leveson Street NORTH MELBOURNE VIC 3051,105628,,,,,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9518209,-37.80175935,"-37.80175935, 144.9518209"
Pre May 16,X000169,COMPLETED,2009,Melbourne (CBD),67,103-105 Lonsdale Street MELBOURNE VIC 3000,105673,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,144.9692533,-37.81049414,"-37.81049414, 144.9692533"
Pre May 16,X000152,COMPLETED,2014,Melbourne (CBD),61,617-639 Lonsdale Street MELBOURNE VIC 3000,105718,,,,,50,584,0,131,434,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9536247,-37.81542152,"-37.81542152, 144.9536247"
Pre May 16,X000190,COMPLETED,2011,Melbourne (CBD),74,364-372 Lonsdale Street MELBOURNE VIC 3000,105742,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337,0,0,0,0,0,0,0,0,0,0,0,144.96147,-37.81223072,"-37.81223072, 144.96147"
Pre May 16,X000197,COMPLETED,2004,Melbourne (CBD),76,QV Village 278-300 Swanston Street MELBOURNE VIC 3000,105749,,,,,44,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.965725,-37.81067869,"-37.81067869, 144.965725"
Pre May 16,X000477,COMPLETED,2003,North Melbourne,341,15-23A Lothian Street NORTH MELBOURNE VIC 3051,105765,,,,,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.94407,-37.80379872,"-37.80379872, 144.94407"
Pre May 16,X000160,COMPLETED,2007,Melbourne (CBD),64,372-378 Little Bourke Street MELBOURNE VIC 3000,105871,,,,,6,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9614805,-37.81342468,"-37.81342468, 144.9614805"
Pre May 16,X000110,COMPLETED,2006,Melbourne (CBD),46,Council House 2 218-242 Little Collins Street MELBOURNE VIC 3000,105962,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9906,479,0,0,0,0,0,0,0,0,0,0,144.9668095,-37.81413224,"-37.81413224, 144.9668095"
Pre May 16,X000491,COMPLETED,2011,North Melbourne,355,29-31 Little Leveson Street NORTH MELBOURNE VIC 3051,105997,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9515213,-37.80418275,"-37.80418275, 144.9515213"
Pre May 16,X000218,COMPLETED,2014,Melbourne (CBD),84,280-294 Little Lonsdale Street MELBOURNE VIC 3000,106044,,,,,40,318,0,0,206,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,164,0,144.9609411,-37.81127448,"-37.81127448, 144.9609411"
